Invoice Number,Estimate Number,Invoice Date,Invoice Status,Customer Name,GST Treatment,TCS Tax Name,TCS Percentage,TCS Amount,Nature Of Collection,TCS Payable Account,TCS Receivable Account,GST Identification Number (GSTIN),TDS Name,TDS Percentage,TDS Section Code,TDS Amount,Place of Supply,PurchaseOrder,Expense Reference ID,Payment Terms,Payment Terms Label,Due Date,Expected Payment Date,Sales person,Shipping Charge Tax Name,Shipping Charge Tax Type,Shipping Charge Tax %,Shipping Charge,Shipping Charge Tax Exemption Code,Shipping Charge SAC Code,Currency Code,Exchange Rate,Account,Item Name,SKU,Item Desc,Item Type,HSN/SAC,Quantity,Usage unit,Item Price,Item Tax Exemption Reason,Is Inclusive Tax,Item Tax,Item Tax Type,Item Tax %,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Project Name,Supply Type,Discount Type,Is Discount Before Tax,Entity Discount Percent,Entity Discount Amount,Discount,Discount Amount,Adjustment,Adjustment Description,E-Commerce Operator Name,E-Commerce Operator GSTIN,PayPal,Razorpay,Partial Payments,Template Name,Notes,Terms & Conditions,Branch Name,Warehouse Name
25JUNE-FK-S-3,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,ML,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA DIA FREE JUICE 500 ML_320,,,,30049011,3,Pcs,224.4047619,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-3,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,ML,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIMALAYA SHILAJIT 20 GRMS_UMA,,,,300490,1,Pcs,950.4761905,,,IGST5,ItemAmount,5,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-3,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,ML,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIMALAYA SHILAJIT 10 GRMS_UMA,,,,30049011,1,Pcs,443.8095238,,,IGST5,ItemAmount,5,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-3,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,ML,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIM FOODS SHILAJIT GOLD RESIN - 20G,,,,30049011,5,Pcs,1138.928571,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-3,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,ML,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA GYM FOODS KESAR SHILAJIT GOLD RESIN 25G,,,,30049011,3,Pcs,1194.345238,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-4,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,MZ,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA ALOE VERA JUICE 1 L_299,,,,30049011,1,Pcs,196.4285714,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-4,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,MZ,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA AMLA JUICE 1 L_299,,,,30049011,2,Pcs,217.8571429,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-4,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,MZ,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA KARELA JAMUN JUICE 1 L_399,,,,30049011,1,Pcs,244.6428571,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-4,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,MZ,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA GET SLIM JUICE 1 L_AYU,,,,30049011,1,Pcs,453.5714286,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-4,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,MZ,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA DIA FREE JUICE 1 L_599,,,,30049011,5,Pcs,483.3928571,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-4,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,MZ,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA DIA FREE JUICE 500 ML_320,,,,30049011,4,Pcs,256.0267857,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-5,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,NL,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,Kapiva Active Foods Shilajit Energy Capsules 60N,,,,30049011,1,Pcs,525,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-5,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,NL,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA APPLE CIDER VINEGAR500 grams_UNATI,,,,22090090,1,Pcs,131.3559322,,,IGST18,ItemAmount,18,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-5,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,NL,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA DIA FREE JUICE 1 L_599,,,,30049011,3,Pcs,485.4166667,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-5,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,NL,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA BP CARE JUICE 1L_1049,,,,30049011,2,Pcs,816.5178571,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-5,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,NL,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA DIA FREE JUICE 500 ML_320,,,,30049011,2,Pcs,267.8571429,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-5,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,NL,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIMALAYA SHILAJIT 10 GRMS_UMA,,,,30049011,2,Pcs,365.2380952,,,IGST5,ItemAmount,5,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-5,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,NL,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIM FOODS SHILAJIT GOLD RESIN - 20G,,,,30049011,3,Pcs,1197.02381,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA ASHWAGANDHA GOLD CAPSULES 60 CAPS_599,,,,30049011,2,Pcs,420.5357143,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA ALOE VERA JUICE 1 L_299,,,,30049011,1,Pcs,218.75,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA TRIPHALA JUICE 1 L_299,,,,30049011,3,Pcs,205.3571429,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA AMLA JUICE 1 L_299,,,,30049011,4,Pcs,212.7232143,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA KARELA JAMUN JUICE 1 L_399,,,,30049011,4,Pcs,253.5714286,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA APPLE CIDER VINEGAR500 grams_UNATI,,,,22090090,1,Pcs,207.6271186,,,IGST18,ItemAmount,18,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA DIA FREE JUICE 1 L_599,,,,30049011,13,Pcs,485.782967,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA BP CARE JUICE 1L_1049,,,,30049011,2,Pcs,926.7857143,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA DIA FREE JUICE 500 ML_320,,,,30049011,6,Pcs,252.6785714,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIMALAYA SHILAJIT 20 GRMS_UMA,,,,300490,3,Pcs,966.984127,,,IGST5,ItemAmount,5,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIMALAYA SHILAJIT 10 GRMS_UMA,,,,30049011,1,Pcs,443.8095238,,,IGST5,ItemAmount,5,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA HIM FOODS SHILAJIT GOLD RESIN - 20G,,,,30049011,11,Pcs,1177.75974,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA GYM FOODS KESAR SHILAJIT GOLD RESIN 25G,,,,30049011,2,Pcs,1285.714286,,,IGST12,ItemAmount,12,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
25JUNE-FK-S-6,,30-06-2025,,FLIPKART INTERNET PRIVATE LIMITED,business_gst,,,,,,,,,,,,TR,,,,,,,,,,,,,,INR,1,         Sale - Marketplace,KAPIVA VIRGIN COCONUT OIL 500 ML_499,,,,15131900,1,Pcs,359.047619,,,IGST5,ItemAmount,5,,,,,,,,,,,,,,,,,,,,sales made with Flipkart for the month of June-2025,,Assam,GWT (18AAOCA0382N1Z7)
